Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S188,Male,13,84.22857739399166,100,Masters,Yes,Yes,65,Pass
S392,Male,18,51.71140554102646,67,Masters,Yes,No,50,Fail
S486,Female,19,87.95179227694248,100,High School,No,No,64,Pass
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S447,Male,33,95.77568386459569,89,Masters,Yes,No,69,Pass
S169,Male,39,91.92912793513125,87,High School,No,No,73,Pass
S398,Female,39,60.975526254047935,60,PhD,No,No,50,Fail
S065,Male,39,60.45653955392571,93,High School,No,Yes,59,Fail
S140,Male,32,80.37776111467863,87,High School,No,No,69,Pass
S255,Male,18,75.11441737312651,59,Bachelors,Yes,Yes,50,Fail
S293,Male,28,59.316043974706034,55,Masters,Yes,Yes,50,Fail
S202,Female,37,60.25009050266186,77,PhD,Yes,No,51,Fail
S491,Female,22,82.33324595585816,57,Masters,No,No,50,Fail
S236,Female,28,58.33653799966916,51,Bachelors,No,No,50,Fail
S364,Female,34,79.75244898502103,93,Masters,No,No,59,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S437,Female,25,88.54556885321352,87,High School,No,No,61,Pass
S063,Male,34,81.04028422110457,93,High School,No,No,69,Pass
S290,Female,21,56.14053909228669,78,Bachelors,Yes,No,50,Fail
S464,Male,36,67.21918660221166,69,Masters,No,No,57,Fail
S201,Male,12,99.54647382286953,89,Masters,No,No,67,Pass
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S133,Male,10,86.84112376974565,99,PhD,No,No,57,Fail
S036,Male,12,89.59089197348165,53,High School,Yes,Yes,50,Fail
S397,Female,37,93.05340099873608,81,Bachelors,No,Yes,61,Pass
S445,Female,15,91.85394953515147,93,Bachelors,No,Yes,67,Pass
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S346,Male,18,74.85059744106245,67,Bachelors,No,No,50,Fail
S162,Male,35,98.75335814725713,89,Bachelors,Yes,No,71,Pass
S122,Male,35,78.19825460094182,54,Bachelors,No,Yes,57,Fail
S069,Female,35,73.0059579491786,74,PhD,No,Yes,60,Pass
S308,Female,34,73.28500611594066,62,Masters,No,Yes,55,Fail
S142,Male,21,74.91238489244701,96,High School,No,No,61,Pass
S418,Female,20,91.12919379558369,69,PhD,No,Yes,50,Fail
S080,Female,10,61.19245329531603,99,High School,No,Yes,53,Fail
S208,Female,14,91.3970443588746,94,High School,No,Yes,73,Pass
S222,Male,38,81.20507720909188,59,PhD,Yes,No,60,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S029,Female,31,74.90825933229465,89,PhD,Yes,No,68,Pass
S279,Male,26,95.93752611303732,75,Masters,No,No,61,Pass
S479,Male,15,89.5006779395928,67,High School,No,Yes,52,Fail
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S177,Male,13,88.38897507214193,97,High School,No,Yes,59,Fail
S424,Male,29,74.87324469899453,82,PhD,Yes,No,60,Pass
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S400,Male,37,88.98793873940154,74,Bachelors,Yes,Yes,64,Pass
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S289,Male,13,95.53430991278566,56,Bachelors,No,Yes,60,Pass
S093,Female,24,74.05726970281466,53,PhD,No,No,50,Fail
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S241,Female,30,99.88463079619217,98,Masters,Yes,No,74,Pass
S076,Female,31,93.71588024272086,52,Bachelors,No,Yes,55,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S468,Male,10,79.91430291340774,69,Bachelors,Yes,No,50,Fail
S312,Male,13,51.642333512171916,78,PhD,Yes,Yes,50,Fail
S148,Male,34,74.3904900404369,83,High School,Yes,No,59,Fail
S070,Female,31,79.23830529745769,88,PhD,No,No,57,Fail
S040,Male,22,89.23341319721547,62,PhD,Yes,Yes,50,Fail
S467,Female,18,85.24627748444766,60,Masters,Yes,Yes,52,Fail
S197,Female,29,92.53637300082273,55,PhD,No,No,61,Pass
S276,Female,18,86.30477930312003,59,High School,Yes,Yes,51,Fail
S227,Male,26,69.5741055100751,80,Masters,Yes,Yes,53,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S393,Female,16,91.53272532826249,95,PhD,Yes,Yes,64,Pass
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S426,Male,27,55.32893650643372,82,PhD,Yes,No,52,Fail
S396,Female,22,68.13789473329727,87,PhD,No,No,54,Fail
S411,Male,22,60.901155374704324,61,PhD,Yes,Yes,50,Fail
S069,Female,35,73.0059579491786,74,PhD,No,Yes,60,Pass
S405,Female,15,59.105356941079165,60,Bachelors,No,No,50,Fail
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S205,Female,38,86.07982753756386,90,Masters,Yes,No,72,Pass
S050,Female,23,86.31985163251142,83,Bachelors,Yes,Yes,55,Fail
S350,Male,11,53.775168190194464,76,PhD,No,Yes,50,Fail
S403,Male,33,99.26836561208674,90,High School,Yes,Yes,64,Pass
S454,Female,35,74.18774709662064,88,PhD,Yes,No,69,Pass
S025,Female,17,87.84995660861144,83,PhD,No,No,58,Fail
S494,Female,33,83.49587322750196,100,PhD,No,No,71,Pass
S369,Male,37,86.04065481552533,64,High School,No,No,61,Pass
S144,Female,25,96.68459118799373,58,High School,Yes,Yes,53,Fail
S273,Female,32,56.955809707153094,61,High School,Yes,Yes,50,Fail
S421,Female,13,74.90453767555029,89,High School,Yes,No,50,Fail
S058,Male,11,72.96734039730862,88,PhD,No,No,54,Fail
S359,Male,10,70.39922476824223,95,PhD,No,No,50,Fail
S240,Female,35,78.65754246286943,76,PhD,Yes,Yes,60,Pass
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S115,Male,39,51.523607636679706,92,Masters,No,No,64,Pass
S198,Female,33,87.2987262774359,73,Masters,No,Yes,72,Pass
S082,Female,30,67.25413139111933,67,High School,No,No,50,Fail
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S206,Male,28,52.404732198204385,62,PhD,No,No,50,Fail
S323,Female,23,75.75868412034063,52,Masters,Yes,Yes,50,Fail
S159,Male,14,78.799920890283,91,PhD,No,Yes,61,Pass
S383,Female,22,56.13884448313542,73,Bachelors,No,No,50,Fail
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S475,Male,22,55.15468730068724,90,Masters,Yes,No,51,Fail
S301,Male,35,60.27899041878187,83,Masters,No,No,62,Pass
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S230,Male,38,61.451269546239814,51,Masters,Yes,No,50,Fail
S201,Male,12,99.54647382286953,89,Masters,No,No,67,Pass
S267,Female,39,67.12621285892718,81,Masters,No,Yes,59,Fail
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S022,Male,11,63.736589851295435,84,Masters,Yes,Yes,50,Fail
S287,Male,28,55.21234830259048,84,Masters,Yes,Yes,50,Fail
S042,Male,35,90.2522333759681,82,High School,Yes,Yes,68,Pass
S011,Male,12,84.5857198584456,80,High School,No,Yes,60,Pass
S087,Female,16,67.7995742135993,95,High School,Yes,Yes,52,Fail
S231,Female,35,77.14246553067045,63,Masters,Yes,No,57,Fail
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S373,Female,31,90.3425074481293,56,PhD,Yes,No,58,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S137,Male,14,68.93863129756447,52,Bachelors,No,No,50,Fail
S156,Female,23,84.84807311832108,74,PhD,No,Yes,68,Pass
S179,Male,29,75.30519781796735,77,Masters,No,No,61,Pass
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S217,Female,38,79.41533378975284,94,High School,No,No,63,Pass
S260,Male,25,50.61015361590223,64,Bachelors,Yes,No,50,Fail
S404,Male,10,73.55327263469073,57,PhD,No,No,50,Fail
S327,Male,32,93.0316008945367,78,Bachelors,Yes,Yes,77,Pass
S348,Female,36,55.14907396656578,93,High School,Yes,No,61,Pass
S204,Male,10,96.32247117948556,97,PhD,Yes,No,56,Fail
S117,Male,18,67.70733353965628,75,Bachelors,Yes,Yes,50,Fail
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S114,Female,30,87.48081160042938,59,Masters,No,Yes,50,Fail
S200,Male,27,96.64690335499773,65,Bachelors,No,No,63,Pass
S456,Male,35,76.99213894540966,81,PhD,No,No,65,Pass
S010,Female,35,53.767953017623114,67,Masters,Yes,Yes,50,Fail
S184,Male,10,72.71339861095498,89,High School,No,Yes,54,Fail
S153,Male,24,92.11570176490909,78,Masters,No,No,53,Fail
S130,Female,17,82.4411420145788,98,PhD,No,Yes,62,Pass
S099,Female,22,93.41505535177934,88,High School,No,No,63,Pass
S196,Female,36,55.334962505671804,82,Masters,No,No,56,Fail
S422,Female,12,53.35876999578551,81,Bachelors,Yes,Yes,50,Fail
S401,Female,26,55.711896296019844,82,Bachelors,No,Yes,52,Fail
S195,Male,37,89.71447249832312,94,Masters,Yes,Yes,66,Pass
S337,Male,21,81.24879935255261,50,Bachelors,Yes,Yes,55,Fail
S318,Male,22,65.57365855663787,63,High School,Yes,No,50,Fail
S007,Male,34,51.84109338179957,99,PhD,Yes,No,54,Fail
S490,Male,36,95.16819063180125,94,Masters,No,Yes,64,Pass
S078,Female,37,98.65551746350522,63,Masters,No,Yes,70,Pass
S420,Female,14,90.75272142012285,59,Bachelors,Yes,Yes,55,Fail
S081,Male,17,91.08953184222246,53,Bachelors,No,Yes,53,Fail
S378,Male,28,66.19950305533999,58,High School,Yes,Yes,53,Fail
S242,Male,27,87.62015600194113,90,PhD,No,Yes,52,Fail
S102,Female,19,99.31284979334076,60,Bachelors,No,No,60,Pass
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S437,Female,25,88.54556885321352,87,High School,No,No,61,Pass
S061,Male,31,53.311798892593295,98,Bachelors,No,No,67,Pass
S110,Male,32,57.38695459531134,78,PhD,No,Yes,50,Fail
S044,Female,34,80.8631856048646,94,PhD,No,Yes,65,Pass
S294,Female,21,91.8745394501246,96,Masters,Yes,Yes,65,Pass
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S179,Male,29,75.30519781796735,77,Masters,No,No,61,Pass
S309,Female,29,74.04184890445367,90,Masters,No,Yes,62,Pass
S371,Female,38,99.43643909777214,79,Masters,Yes,Yes,68,Pass
S193,Male,11,73.65831005259462,76,High School,Yes,Yes,54,Fail
S393,Female,16,91.53272532826249,95,PhD,Yes,Yes,64,Pass
S388,Male,29,81.23806355216256,57,PhD,Yes,Yes,50,Fail
S123,Female,10,92.03549929389655,54,High School,No,Yes,50,Fail
S357,Female,25,91.98944297282853,64,Bachelors,Yes,Yes,57,Fail
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S328,Male,38,76.75348594668293,70,Bachelors,No,No,64,Pass
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S256,Male,33,76.99303185564183,90,High School,Yes,Yes,69,Pass
S292,Male,18,58.27602551836449,82,High School,Yes,Yes,50,Fail
S002,Female,30,87.4789149988036,56,PhD,No,Yes,50,Fail
S095,Female,32,75.58285067736307,86,Masters,Yes,Yes,63,Pass
S243,Female,22,85.34902306217296,66,High School,No,Yes,50,Fail
S167,Female,13,76.75183660224553,73,Bachelors,No,No,50,Fail
S471,Male,22,53.888267203947855,55,Masters,No,Yes,50,Fail
S311,Female,30,79.35341120682835,64,Masters,Yes,Yes,50,Fail
S425,Female,34,86.01012908161479,51,PhD,No,No,58,Fail
S462,Male,18,81.16662754524954,99,Bachelors,No,No,56,Fail
S168,Male,10,73.8309742063206,64,High School,No,No,50,Fail
S306,Male,12,93.17590703064785,66,PhD,No,No,52,Fail
S394,Female,10,67.25960724406377,96,Masters,No,Yes,64,Pass
S220,Male,23,85.6891227427663,72,PhD,Yes,No,55,Fail
S400,Male,37,88.98793873940154,74,Bachelors,Yes,Yes,64,Pass
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S017,Female,31,87.85406010212279,88,Masters,Yes,No,65,Pass
S250,Male,38,55.14580153720725,97,High School,Yes,Yes,58,Fail
S347,Male,27,88.26781405331204,64,PhD,Yes,Yes,67,Pass
S275,Male,12,62.80077659268311,66,High School,Yes,Yes,50,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S317,Male,16,51.69395801232975,96,PhD,Yes,Yes,51,Fail
S182,Male,28,79.69415487789495,66,Bachelors,No,No,50,Fail
S128,Male,25,73.69849707152781,84,High School,Yes,Yes,57,Fail
S075,Male,24,70.5830607178764,98,Bachelors,Yes,No,57,Fail
S245,Male,38,57.15639927742348,80,Masters,Yes,Yes,54,Fail
S061,Male,31,53.311798892593295,98,Bachelors,No,No,67,Pass
S131,Female,22,73.97910508771251,91,PhD,No,No,57,Fail
S200,Male,27,96.64690335499773,65,Bachelors,No,No,63,Pass
S107,Female,28,76.5632876986767,53,High School,Yes,No,50,Fail
S062,Male,28,52.293063320231646,78,PhD,Yes,No,50,Fail
S328,Male,38,76.75348594668293,70,Bachelors,No,No,64,Pass
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S211,Male,10,91.25663383463987,85,Bachelors,Yes,Yes,63,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S161,Male,25,50.26500031988027,64,Bachelors,No,No,50,Fail
S244,Male,20,88.92859695253756,89,PhD,No,Yes,61,Pass
S486,Female,19,87.95179227694248,100,High School,No,No,64,Pass
S336,Female,35,73.41159142206897,52,PhD,Yes,No,50,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S266,Female,32,97.95373972820138,69,Bachelors,Yes,No,58,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S244,Male,20,88.92859695253756,89,PhD,No,Yes,61,Pass
S169,Male,39,91.92912793513125,87,High School,No,No,73,Pass
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S367,Female,13,94.37302412567516,69,PhD,No,Yes,62,Pass
S129,Female,34,67.75521516396523,69,High School,Yes,Yes,52,Fail
S485,Male,11,81.94746926671309,94,High School,Yes,No,53,Fail
S037,Female,27,79.4977948568818,78,Masters,Yes,No,59,Fail
S100,Male,27,54.225850384034096,95,High School,No,Yes,56,Fail
S132,Male,30,79.20997423570847,84,Masters,No,Yes,65,Pass
S054,Female,28,64.89797257709752,67,Masters,Yes,No,51,Fail
S374,Female,16,98.13246592774374,66,Masters,No,No,51,Fail
S367,Female,13,94.37302412567516,69,PhD,No,Yes,62,Pass
S063,Male,34,81.04028422110457,93,High School,No,No,69,Pass
S269,Male,21,71.17984312102415,99,High School,Yes,No,59,Fail
S210,Male,12,89.97685654597578,91,PhD,No,No,57,Fail
S385,Male,37,82.14627818071267,60,PhD,No,No,64,Pass
S105,Female,26,61.80582665587022,74,High School,No,No,50,Fail
S497,Male,10,99.96767497829174,55,High School,No,No,59,Fail
S465,Female,31,67.57700805671094,96,PhD,No,Yes,62,Pass
S170,Female,39,60.253878007472956,57,Masters,Yes,Yes,50,Fail
S199,Male,21,70.42591464679585,68,Masters,No,No,50,Fail
S183,Female,35,68.46152407549481,99,PhD,Yes,No,67,Pass
S142,Male,21,74.91238489244701,96,High School,No,No,61,Pass
S215,Male,20,95.3933065231258,54,PhD,No,Yes,54,Fail
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S347,Male,27,88.26781405331204,64,PhD,Yes,Yes,67,Pass
S437,Female,25,88.54556885321352,87,High School,No,No,61,Pass
S447,Male,33,95.77568386459569,89,Masters,Yes,No,69,Pass
S281,Female,29,51.15113023938188,99,Bachelors,No,No,50,Fail
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S355,Female,28,90.03748857430605,78,Masters,Yes,No,67,Pass
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S427,Male,24,57.00092693302245,82,Bachelors,Yes,Yes,53,Fail
S205,Female,38,86.07982753756386,90,Masters,Yes,No,72,Pass
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S228,Female,35,76.5928739844087,67,Bachelors,No,No,62,Pass
S352,Male,38,63.61509273601497,95,Masters,Yes,No,58,Fail
S297,Female,37,61.36978104385563,100,High School,Yes,No,66,Pass
S417,Male,30,84.15919282227406,77,Masters,Yes,No,61,Pass
S272,Female,22,95.59262044214825,66,PhD,Yes,No,50,Fail
S443,Male,25,88.54929627677393,83,PhD,No,No,56,Fail
S313,Female,30,95.63747314395644,78,High School,Yes,No,61,Pass
S500,Female,26,65.64274282527938,71,High School,Yes,No,52,Fail
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S303,Male,25,80.18607658650694,83,High School,No,No,67,Pass
S228,Female,35,76.5928739844087,67,Bachelors,No,No,62,Pass
S363,Male,16,75.2753939553017,78,High School,No,Yes,57,Fail
S064,Male,35,67.37067041127071,65,Masters,Yes,Yes,56,Fail
S453,Female,13,56.75006387106035,58,Bachelors,No,Yes,50,Fail
S102,Female,19,99.31284979334076,60,Bachelors,No,No,60,Pass
S005,Male,12,78.45407345828738,97,Masters,No,No,53,Fail
S103,Female,39,76.82953229936663,62,Masters,Yes,Yes,68,Pass
S296,Female,16,65.57221320228206,81,Masters,No,Yes,50,Fail
S320,Female,19,63.87935863147091,71,PhD,No,No,50,Fail
S343,Male,22,76.38238650723929,74,High School,Yes,No,50,Fail
S188,Male,13,84.22857739399166,100,Masters,Yes,Yes,65,Pass
S171,Female,14,98.3997033252117,54,Masters,Yes,No,55,Fail
S288,Male,26,92.02198159902115,61,Bachelors,No,No,59,Fail
S174,Female,19,86.81235918492442,67,High School,No,Yes,54,Fail
S456,Male,35,76.99213894540966,81,PhD,No,No,65,Pass
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S203,Male,10,68.96142924819003,82,Bachelors,No,No,58,Fail
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S334,Male,18,89.98910110371347,68,Bachelors,No,No,56,Fail
S098,Female,25,50.129751219182324,55,Masters,Yes,Yes,50,Fail
S135,Male,38,79.32677173303796,66,High School,Yes,Yes,57,Fail
S355,Female,28,90.03748857430605,78,Masters,Yes,No,67,Pass
S212,Male,10,59.320249339407205,76,Bachelors,No,Yes,50,Fail
S303,Male,25,80.18607658650694,83,High School,No,No,67,Pass
S172,Male,32,85.54762394183741,97,Bachelors,No,Yes,64,Pass
S134,Male,25,77.88711329752186,67,High School,No,Yes,50,Fail
S483,Male,24,97.90853965019652,62,High School,Yes,Yes,53,Fail
S176,Female,14,85.36150478222223,86,High School,Yes,No,57,Fail
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S004,Male,10,91.45821103532572,100,High School,No,No,59,Fail
S109,Female,35,53.11706812556207,69,PhD,Yes,No,54,Fail
S198,Female,33,87.2987262774359,73,Masters,No,Yes,72,Pass
S407,Female,15,75.62288279409609,100,Bachelors,No,Yes,54,Fail
S183,Female,35,68.46152407549481,99,PhD,Yes,No,67,Pass
S472,Female,37,50.116969531288916,71,PhD,Yes,No,55,Fail
S442,Female,19,54.516848028880396,64,Bachelors,No,No,50,Fail
S149,Male,38,92.5408758918073,60,PhD,Yes,Yes,64,Pass
S118,Female,21,69.85819162520413,90,Masters,Yes,No,50,Fail
S358,Female,22,93.34968800057618,76,Bachelors,No,No,60,Pass
S492,Male,14,84.65876057284623,78,PhD,Yes,No,50,Fail
S301,Male,35,60.27899041878187,83,Masters,No,No,62,Pass
S473,Male,25,98.38496941035433,75,Bachelors,Yes,No,57,Fail
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S046,Female,22,80.40439247709426,93,Bachelors,Yes,No,55,Fail
